maydon,xonalar,joylashuv,yoshi,narxi
31,2,shahar_cheti,97,208544.87643964737
178,3,shahar_cheti,49,1379283.359568235
147,4,shahar_cheti,45,1266133.5257654726
166,6,qishloq,24,792942.1890925457
45,5,markaz,100,642843.105515914
195,1,qishloq,76,997776.0081580906
180,2,markaz,83,2105165.332300641
172,2,shahar_cheti,32,1504986.0383587333
141,3,shahar_cheti,77,1212360.2131145445
123,1,shahar_cheti,67,810847.6104688714
191,5,qishloq,64,912335.8399773837
75,2,shahar_cheti,78,567279.3102845887
155,5,markaz,58,1555459.0501046146
180,6,markaz,56,2353227.6978067798
140,1,shahar_cheti,38,1022262.7981677959
40,1,qishloq,99,225143.58990508108
95,4,qishloq,97,413811.2163089821
87,4,markaz,8,885021.7104098243
109,5,qishloq,71,652683.6565990016
184,6,qishloq,68,948970.4578269653
107,3,qishloq,91,557313.9141076698
105,3,qishloq,29,567127.9138763638
159,5,shahar_cheti,12,1082809.8323554636
37,4,markaz,81,505636.8165967222
164,4,markaz,5,2282139.3671188187
68,1,markaz,42,964236.9596101664
109,3,shahar_cheti,99,931249.5591233261
112,5,shahar_cheti,52,965306.3407674796
159,2,qishloq,10,727116.5970140866
40,3,qishloq,40,166892.78701293832
142,1,markaz,64,1527298.240411462
30,5,qishloq,51,155518.91054422606
49,6,markaz,22,533912.1029356269
184,2,markaz,45,2423759.595939895
103,6,qishloq,22,485238.5628186436
178,1,qishloq,23,761623.3008471512
134,5,qishloq,54,794122.7059219577
154,6,shahar_cheti,10,924789.4547006724
30,2,shahar_cheti,27,188792.74304601364
165,4,markaz,22,1675380.740390363
76,5,qishloq,89,448378.49538495945
185,1,markaz,36,2709679.5603267043
66,2,shahar_cheti,40,512464.56303417735
187,4,markaz,81,1933780.7475442893
32,4,markaz,13,359301.2708714462
195,1,markaz,5,2658897.5384132075
66,4,markaz,11,968972.8682068498
140,5,markaz,20,1960343.732944932
44,6,markaz,22,534971.3700061383
97,5,shahar_cheti,77,615342.7975018012
56,6,shahar_cheti,32,336686.76249476796
141,5,markaz,5,1670345.5651047355
157,2,shahar_cheti,48,1292549.2131865984
159,3,markaz,82,1909972.5517011066
190,5,shahar_cheti,3,1510831.7650202762
62,1,shahar_cheti,78,485951.6444798366
94,5,markaz,90,1195267.662231905
